"id","time","address","isp","country","rdns","screenx","screeny","user_agent","timestamps","path"
"1","2022-01-05 11:43:29","37.252.90.16","Ucom CJSC","Armenia","host-16.90.252.37.ucom.am","1920","1080","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:95.0) Gecko/20100101 Firefox/95.0",",7.1,11.8,12.2,52.2",NULL
"2","2022-01-05 11:46:38","37.252.90.16","Ucom CJSC","Armenia","host-16.90.252.37.ucom.am","1920","1080","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:95.0) Gecko/20100101 Firefox/95.0",",19.1,21.6,22,28.1",NULL
"3","2022-01-05 11:59:35","37.252.90.16","Ucom CJSC","Armenia","host-16.90.252.37.ucom.am","1920","1080","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:95.0) Gecko/20100101 Firefox/95.0",",13.9,25.3,25.6,54.2",NULL
"4","2022-01-05 12:00:56","37.252.90.16","Ucom CJSC","Armenia","host-16.90.252.37.ucom.am","1920","1080","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:95.0) Gecko/20100101 Firefox/95.0",",8.6,11.3,11.6,39.9",NULL
"5","2022-01-05 12:02:56","37.252.90.16","Ucom CJSC","Armenia","host-16.90.252.37.ucom.am","1920","1080","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:95.0) Gecko/20100101 Firefox/95.0",",13.2,45.8,46.3,82.4",NULL
"6","2022-01-05 12:21:33","37.252.90.16","Ucom CJSC","Armenia","host-16.90.252.37.ucom.am","1920","1080","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:95.0) Gecko/20100101 Firefox/95.0",",9.7,12,12.4,14.6",NULL
"7","2022-01-05 12:22:22","37.252.90.16","Ucom CJSC","Armenia","host-16.90.252.37.ucom.am","1920","1080","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:95.0) Gecko/20100101 Firefox/95.0",",8,10.7,11.1,18.2",NULL
"8","2022-01-05 12:48:14","37.252.90.16","Ucom CJSC","Armenia","host-16.90.252.37.ucom.am","1920","1080","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:95.0) Gecko/20100101 Firefox/95.0",",6.6,6.8,13.1,16.1",NULL
"9","2022-01-05 13:14:43","37.252.90.16","Ucom CJSC","Armenia","host-16.90.252.37.ucom.am","1920","1080","Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:95.0) Gecko/20100101 Firefox/95.0",",65.7,66.2,71.3,89.9",NULL
"10","2022-01-05 13:16:14","46.71.37.46","Telecom Armenia CJSC","Armenia","46.71.37.46","414","736","Mozilla/5.0 (iPhone; CPU iPhone OS 15_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 216.0.0.12.135 (iPhone10,5; iOS 15_1; en_AM; en-AM; scale=2.61; 1080x1920; 338132253)",",9.8,62.1,85.4,96.5",NULL
"11","2022-01-05 13:20:17","141.136.83.205","Ucom CJSC","Armenia","host-205.83.136.141.ucom.am","414","896","Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 216.0.0.12.135 (iPhone11,6; iOS 14_6; en_AM; en-AM; scale=3.00; 1242x2688; 338132253)",",0.1,10.2,162,162.5",NULL
"12","2022-01-05 13:25:11","141.136.90.224","Ucom CJSC","Armenia","host-224.90.136.141.ucom.am","1600","1200","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 OPR/82.0.4227.50",",0,2.5,12.4,12.5",NULL
"13","2022-01-05 13:25:44","212.42.203.156","GNC-Alfa CJSC","Armenia","212.42.203.156","1920","1080","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.71 Safari/537.36",",0.1,4.2,18.8,18.9",NULL
"14","2022-01-05 13:25:45","141.136.91.251","Ucom CJSC","Armenia","host-251.91.136.141.ucom.am","2560","1440","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36",",0,7.7,11,11.3",NULL
"15","2022-01-05 13:25:53","141.136.89.44","Ucom CJSC","Armenia","host-44.89.136.141.ucom.am","2560","1080","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.110 Safari/537.36 OPR/82.0.4227.50",",0,0,0,0",NULL
